record_id,target,lira_score
HA-00001,Non-private (overfit),-0.23400549372362733
HA-00002,Non-private (overfit),0.08770314241094579
HA-00003,Non-private (overfit),0.5556260820408323
HA-00004,Non-private (overfit),0.017616945487500257
HA-00006,Non-private (overfit),-0.2583058130189402
HA-00007,Non-private (overfit),0.28222943505366227
HA-00008,Non-private (overfit),0.5660775310584231
HA-00009,Non-private (overfit),-0.03173714421066376
HA-00010,Non-private (overfit),-0.10082213428065279
HA-00011,Non-private (overfit),-0.0583291283778794
HA-00012,Non-private (overfit),0.45436649674692164
HA-00013,Non-private (overfit),-0.7054099882400244
HA-00015,Non-private (overfit),0.11276828897882307
HA-00016,Non-private (overfit),-0.3821366158471964
HA-00017,Non-private (overfit),1.6109692564995317
HA-00018,Non-private (overfit),0.33184520201895706
HA-00019,Non-private (overfit),-0.4893344987639172
HA-00020,Non-private (overfit),-0.18644593473171867
HA-00021,Non-private (overfit),-0.3922472004268147
HA-00022,Non-private (overfit),-0.06033673521535099
HA-00023,Non-private (overfit),0.37593569141447514
HA-00024,Non-private (overfit),0.4443245841594683
HA-00026,Non-private (overfit),-0.6596029874424632
HA-00027,Non-private (overfit),0.5983558281064753
HA-00028,Non-private (overfit),-0.28494445895732223
HA-00029,Non-private (overfit),-0.07420593364390271
HA-00030,Non-private (overfit),0.06265144099615738
HA-00031,Non-private (overfit),0.12745185468538134
HA-00032,Non-private (overfit),0.4828224621442305
HA-00033,Non-private (overfit),0.1562380051102339
HA-00034,Non-private (overfit),0.2500065719672431
HA-00035,Non-private (overfit),-0.1299766236448744
HA-00036,Non-private (overfit),-0.4626084645441777
HA-00039,Non-private (overfit),0.552844729613904
HA-00040,Non-private (overfit),-0.15717137593557418
HA-00041,Non-private (overfit),0.15686951007590544
HA-00042,Non-private (overfit),0.06613436683805674
HA-00043,Non-private (overfit),-0.22189277632239635
HA-00044,Non-private (overfit),-0.40970899045511666
HA-00045,Non-private (overfit),0.6235611150720817
HA-00046,Non-private (overfit),0.006172752061064379
HA-00047,Non-private (overfit),0.8749161140532489
HA-00048,Non-private (overfit),-0.17120309653891486
HA-00049,Non-private (overfit),0.8270347158899034
HA-00050,Non-private (overfit),0.6254394201347949
HA-00051,Non-private (overfit),0.04452044863562565
HA-00052,Non-private (overfit),0.3252099665747472
HA-00053,Non-private (overfit),-0.2926010200298754
HA-00054,Non-private (overfit),0.7684474170255975
HA-00055,Non-private (overfit),0.1880997756904339
HA-00056,Non-private (overfit),-2.6188820476362045
HA-00058,Non-private (overfit),0.706632583228159
HA-00059,Non-private (overfit),-1.0969281504450747
HA-00060,Non-private (overfit),-0.05582652251626685
HA-00061,Non-private (overfit),0.26895493498061906
