record_id,split
HA-00001,test
HA-00002,fit
HA-00003,fit
HA-00004,test
HA-00005,val
HA-00006,test
HA-00007,fit
HA-00008,fit
HA-00009,test
HA-00010,test
HA-00011,test
HA-00012,test
HA-00013,test
HA-00014,val
HA-00015,fit
HA-00016,fit
HA-00017,fit
HA-00018,test
HA-00019,test
HA-00020,test
HA-00021,fit
HA-00022,fit
HA-00023,test
HA-00024,test
HA-00025,val
HA-00026,test
HA-00027,test
HA-00028,test
HA-00029,fit
HA-00030,fit
HA-00031,fit
HA-00032,fit
HA-00033,fit
HA-00034,fit
HA-00035,fit
HA-00036,fit
HA-00037,val
HA-00038,val
HA-00039,fit
HA-00040,fit
HA-00041,fit
HA-00042,test
HA-00043,fit
HA-00044,test
HA-00045,fit
HA-00046,fit
HA-00047,fit
HA-00048,fit
HA-00049,fit
HA-00050,test
HA-00051,fit
HA-00052,fit
HA-00053,test
HA-00054,test
HA-00055,test
HA-00056,test
HA-00057,val
HA-00058,fit
HA-00059,test
HA-00060,fit
HA-00061,test
HA-00062,fit
HA-00063,fit
HA-00064,fit
HA-00065,fit
HA-00066,fit
HA-00067,val
HA-00068,fit
HA-00069,test
HA-00070,fit
HA-00071,test
HA-00072,test
HA-00073,test
HA-00074,fit
HA-00075,fit
HA-00076,fit
HA-00077,val
HA-00078,test
HA-00079,test
HA-00080,fit
HA-00081,test
HA-00082,fit
HA-00083,val
HA-00084,fit
HA-00085,test
HA-00086,test
HA-00087,fit
HA-00088,test
HA-00089,test
HA-00090,test
HA-00091,fit
HA-00092,val
HA-00093,test
HA-00094,fit
HA-00095,fit
HA-00096,test
HA-00097,fit
HA-00098,test
HA-00099,fit
HA-00100,test
HA-00101,val
HA-00102,test
HA-00103,fit
HA-00104,test
HA-00105,fit
HA-00106,test
HA-00107,fit
HA-00108,test
HA-00109,fit
HA-00110,fit
HA-00111,fit
HA-00112,fit
HA-00113,val
HA-00114,fit
HA-00115,fit
HA-00116,test
HA-00117,fit
HA-00118,test
HA-00119,fit
HA-00120,test
HA-00121,val
HA-00122,test
HA-00123,test
HA-00124,val
HA-00125,test
HA-00126,fit
HA-00127,test
HA-00128,test
HA-00129,test
HA-00130,test
HA-00131,test
HA-00132,fit
HA-00133,test
HA-00134,val
HA-00135,test
HA-00136,val
HA-00137,fit
HA-00138,test
HA-00139,fit
HA-00140,fit
HA-00141,fit
HA-00142,fit
HA-00143,fit
HA-00144,test
HA-00145,test
HA-00146,test
HA-00147,fit
HA-00148,test
HA-00149,val
HA-00150,fit
HA-00151,test
HA-00152,fit
HA-00153,fit
HA-00154,test
HA-00155,fit
HA-00156,test
HA-00157,fit
HA-00158,test
HA-00159,fit
HA-00160,test
HA-00161,test
HA-00162,fit
HA-00163,test
HA-00164,fit
HA-00165,fit
HA-00166,test
HA-00167,test
HA-00168,fit
HA-00169,fit
HA-00170,fit
HA-00171,fit
HA-00172,test
HA-00173,fit
HA-00174,fit
HA-00175,test
HA-00176,test
HA-00177,fit
HA-00178,test
HA-00179,test
HA-00180,test
HA-00181,fit
HA-00182,test
HA-00183,test
HA-00184,val
HA-00185,val
HA-00186,test
HA-00187,test
HA-00188,fit
HA-00189,test
HA-00190,fit
HA-00191,fit
HA-00192,fit
HA-00193,fit
HA-00194,fit
HA-00195,test
HA-00196,fit
HA-00197,test
HA-00198,test
HA-00199,test
HA-00200,fit
HA-00201,fit
HA-00202,fit
HA-00203,test
HA-00204,test
HA-00205,val
HA-00206,fit
HA-00207,test
HA-00208,fit
HA-00209,val
HA-00210,test
HA-00211,val
HA-00212,test
HA-00213,test
HA-00214,fit
HA-00215,test
HA-00216,fit
HA-00217,fit
HA-00218,val
HA-00219,test
HA-00220,test
HA-00221,test
HA-00222,test
HA-00223,fit
HA-00224,test
HA-00225,val
HA-00226,fit
HA-00227,fit
HA-00228,fit
HA-00229,fit
HA-00230,test
HA-00231,val
HA-00232,test
HA-00233,fit
HA-00234,fit
HA-00235,fit
HA-00236,test
HA-00237,val
HA-00238,test
HA-00239,val
HA-00240,fit
HA-00241,fit
HA-00242,fit
HA-00243,val
HA-00244,fit
HA-00245,test
HA-00246,fit
HA-00247,fit
HA-00248,fit
HA-00249,test
HA-00250,test
HA-00251,test
HA-00252,test
HA-00253,fit
HA-00254,val
HA-00255,fit
HA-00256,test
HA-00257,test
HA-00258,fit
HA-00259,val
HA-00260,test
HA-00261,test
HA-00262,fit
HA-00263,test
HA-00264,fit
HA-00265,fit
HA-00266,test
HA-00267,test
HA-00268,fit
HA-00269,test
HA-00270,fit
HA-00271,test
HA-00272,test
HA-00273,fit
HA-00274,val
HA-00275,fit
HA-00276,val
HA-00277,test
HA-00278,test
HA-00279,fit
HA-00280,test
HA-00281,fit
HA-00282,test
HA-00283,test
HA-00284,test
HA-00285,test
HA-00286,fit
HA-00287,test
HA-00288,fit
HA-00289,fit
HA-00290,test
HA-00291,fit
HA-00292,val
HA-00293,fit
HA-00294,test
HA-00295,test
HA-00296,test
HA-00297,val
HA-00298,fit
HA-00299,test
HA-00300,fit
HA-00301,fit
HA-00302,fit
HA-00303,fit
HA-00304,fit
HA-00305,test
HA-00306,fit
HA-00307,test
HA-00308,test
HA-00309,fit
HA-00310,test
HA-00311,test
HA-00312,test
HA-00313,fit
HA-00314,fit
HA-00315,fit
HA-00316,fit
HA-00317,test
HA-00318,test
HA-00319,fit
HA-00320,val
HA-00321,test
HA-00322,test
HA-00323,test
HA-00324,test
HA-00325,test
HA-00326,fit
HA-00327,fit
HA-00328,val
HA-00329,test
HA-00330,test
HA-00331,fit
HA-00332,fit
HA-00333,val
HA-00334,test
HA-00335,test
HA-00336,test
HA-00337,test
HA-00338,fit
HA-00339,fit
HA-00340,fit
HA-00341,fit
HA-00342,test
HA-00343,test
HA-00344,test
HA-00345,val
HA-00346,fit
HA-00347,fit
HA-00348,fit
HA-00349,fit
HA-00350,test
HA-00351,val
HA-00352,fit
HA-00353,fit
HA-00354,fit
HA-00355,test
HA-00356,test
HA-00357,test
HA-00358,test
HA-00359,test
HA-00360,test
HA-00361,fit
HA-00362,fit
HA-00363,test
HA-00364,test
HA-00365,fit
HA-00366,fit
HA-00367,test
HA-00368,test
HA-00369,test
HA-00370,fit
HA-00371,test
HA-00372,fit
HA-00373,test
HA-00374,test
HA-00375,val
HA-00376,fit
HA-00377,test
HA-00378,fit
HA-00379,val
HA-00380,fit
HA-00381,test
HA-00382,test
HA-00383,test
HA-00384,test
HA-00385,fit
HA-00386,test
HA-00387,fit
HA-00388,test
HA-00389,fit
HA-00390,test
HA-00391,test
HA-00392,test
HA-00393,test
HA-00394,val
HA-00395,test
HA-00396,test
HA-00397,fit
HA-00398,val
HA-00399,test
HA-00400,fit
HA-00401,test
HA-00402,fit
HA-00403,fit
HA-00404,test
HA-00405,fit
HA-00406,test
HA-00407,val
HA-00408,test
HA-00409,fit
HA-00410,fit
HA-00411,fit
HA-00412,test
HA-00413,fit
HA-00414,test
HA-00415,test
HA-00416,fit
HA-00417,test
HA-00418,test
HA-00419,test
HA-00420,test
HA-00421,fit
HA-00422,fit
HA-00423,test
HA-00424,test
HA-00425,val
HA-00426,fit
HA-00427,fit
HA-00428,test
HA-00429,fit
HA-00430,val
HA-00431,test
HA-00432,val
HA-00433,test
HA-00434,test
HA-00435,fit
HA-00436,fit
HA-00437,test
HA-00438,val
HA-00439,test
HA-00440,test
HA-00441,fit
HA-00442,val
HA-00443,test
HA-00444,test
HA-00445,fit
HA-00446,fit
HA-00447,test
HA-00448,val
HA-00449,val
HA-00450,val
HA-00451,fit
HA-00452,test
HA-00453,test
HA-00454,fit
HA-00455,test
HA-00456,fit
HA-00457,test
HA-00458,fit
HA-00459,fit
HA-00460,fit
HA-00461,test
HA-00462,fit
HA-00463,test
HA-00464,test
HA-00465,val
HA-00466,fit
HA-00467,test
HA-00468,test
HA-00469,test
HA-00470,test
HA-00471,test
HA-00472,fit
HA-00473,fit
HA-00474,test
HA-00475,test
HA-00476,fit
HA-00477,test
HA-00478,fit
HA-00479,fit
HA-00480,fit
HA-00481,test
HA-00482,test
HA-00483,fit
HA-00484,test
HA-00485,test
HA-00486,test
HA-00487,test
HA-00488,fit
HA-00489,test
HA-00490,test
HA-00491,test
HA-00492,fit
HA-00493,test
HA-00494,fit
HA-00495,test
HA-00496,fit
HA-00497,fit
HA-00498,test
HA-00499,fit
HA-00500,fit
HA-00501,test
HA-00502,test
HA-00503,fit
HA-00504,fit
HA-00505,fit
HA-00506,fit
HA-00507,test
HA-00508,test
HA-00509,val
HA-00510,test
HA-00511,test
HA-00512,test
HA-00513,fit
HA-00514,fit
HA-00515,test
HA-00516,test
HA-00517,fit
HA-00518,test
HA-00519,fit
HA-00520,val
HA-00521,test
HA-00522,fit
HA-00523,test
HA-00524,test
HA-00525,val
HA-00526,fit
HA-00527,fit
HA-00528,test
HA-00529,test
HA-00530,fit
HA-00531,test
HA-00532,fit
HA-00533,test
HA-00534,val
HA-00535,fit
HA-00536,fit
HA-00537,test
HA-00538,fit
HA-00539,val
HA-00540,fit
HA-00541,test
HA-00542,test
HA-00543,test
HA-00544,val
HA-00545,test
HA-00546,test
HA-00547,test
HA-00548,test
HA-00549,fit
HA-00550,test
HA-00551,fit
HA-00552,fit
HA-00553,val
HA-00554,val
HA-00555,test
HA-00556,test
HA-00557,val
HA-00558,test
HA-00559,test
HA-00560,fit
HA-00561,test
HA-00562,fit
HA-00563,test
HA-00564,fit
HA-00565,test
HA-00566,test
HA-00567,test
HA-00568,val
HA-00569,test
HA-00570,fit
HA-00571,fit
HA-00572,test
HA-00573,fit
