record_id,split
HA-00001,test
HA-00002,test
HA-00003,test
HA-00004,test
HA-00005,val
HA-00006,fit
HA-00007,val
HA-00008,test
HA-00009,test
HA-00010,test
HA-00011,fit
HA-00012,test
HA-00013,val
HA-00014,fit
HA-00015,fit
HA-00016,fit
HA-00017,test
HA-00018,fit
HA-00019,fit
HA-00020,test
HA-00021,fit
HA-00022,test
HA-00023,fit
HA-00024,test
HA-00025,fit
HA-00026,test
HA-00027,test
HA-00028,test
HA-00029,test
HA-00030,fit
HA-00031,test
HA-00032,test
HA-00033,fit
HA-00034,fit
HA-00035,test
HA-00036,fit
HA-00037,fit
HA-00038,test
HA-00039,val
HA-00040,test
HA-00041,test
HA-00042,val
HA-00043,fit
HA-00044,fit
HA-00045,test
HA-00046,test
HA-00047,fit
HA-00048,test
HA-00049,test
HA-00050,fit
HA-00051,fit
HA-00052,fit
HA-00053,fit
HA-00054,val
HA-00055,test
HA-00056,test
HA-00057,test
HA-00058,val
HA-00059,fit
HA-00060,fit
HA-00061,test
HA-00062,fit
HA-00063,test
HA-00064,test
HA-00065,fit
HA-00066,test
HA-00067,test
HA-00068,fit
HA-00069,val
HA-00070,test
HA-00071,fit
HA-00072,fit
HA-00073,test
HA-00074,fit
HA-00075,test
HA-00076,fit
HA-00077,fit
HA-00078,fit
HA-00079,test
HA-00080,fit
HA-00081,fit
HA-00082,fit
HA-00083,fit
HA-00084,test
HA-00085,test
HA-00086,fit
HA-00087,test
HA-00088,test
HA-00089,val
HA-00090,fit
HA-00091,fit
HA-00092,fit
HA-00093,test
HA-00094,test
HA-00095,val
HA-00096,val
HA-00097,val
HA-00098,fit
HA-00099,fit
HA-00100,fit
HA-00101,fit
HA-00102,test
HA-00103,test
HA-00104,test
HA-00105,test
HA-00106,fit
HA-00107,test
HA-00108,test
HA-00109,test
HA-00110,test
HA-00111,test
HA-00112,test
HA-00113,test
HA-00114,test
HA-00115,test
HA-00116,fit
HA-00117,test
HA-00118,test
HA-00119,fit
HA-00120,fit
HA-00121,fit
HA-00122,fit
HA-00123,test
HA-00124,test
HA-00125,fit
HA-00126,test
HA-00127,test
HA-00128,fit
HA-00129,fit
HA-00130,val
HA-00131,fit
HA-00132,fit
HA-00133,test
HA-00134,test
HA-00135,fit
HA-00136,test
HA-00137,fit
HA-00138,test
HA-00139,test
HA-00140,val
HA-00141,test
HA-00142,test
HA-00143,test
HA-00144,test
HA-00145,test
HA-00146,fit
HA-00147,fit
HA-00148,test
HA-00149,val
HA-00150,val
HA-00151,fit
HA-00152,test
HA-00153,fit
HA-00154,test
HA-00155,test
HA-00156,fit
HA-00157,test
HA-00158,test
HA-00159,val
HA-00160,test
HA-00161,fit
HA-00162,test
HA-00163,test
HA-00164,test
HA-00165,fit
HA-00166,fit
HA-00167,val
HA-00168,fit
HA-00169,fit
HA-00170,test
HA-00171,fit
HA-00172,val
HA-00173,val
HA-00174,val
HA-00175,val
HA-00176,test
HA-00177,test
HA-00178,fit
HA-00179,fit
HA-00180,test
HA-00181,test
HA-00182,test
HA-00183,test
HA-00184,test
HA-00185,fit
HA-00186,test
HA-00187,fit
HA-00188,test
HA-00189,test
HA-00190,test
HA-00191,test
HA-00192,fit
HA-00193,test
HA-00194,fit
HA-00195,test
HA-00196,fit
HA-00197,fit
HA-00198,fit
HA-00199,fit
HA-00200,fit
HA-00201,fit
HA-00202,fit
HA-00203,fit
HA-00204,fit
HA-00205,fit
HA-00206,fit
HA-00207,fit
HA-00208,fit
HA-00209,fit
HA-00210,fit
HA-00211,fit
HA-00212,fit
HA-00213,test
HA-00214,fit
HA-00215,test
HA-00216,val
HA-00217,test
HA-00218,fit
HA-00219,test
HA-00220,val
HA-00221,fit
HA-00222,test
HA-00223,test
HA-00224,test
HA-00225,test
HA-00226,fit
HA-00227,test
HA-00228,fit
HA-00229,test
HA-00230,fit
HA-00231,test
HA-00232,test
HA-00233,fit
HA-00234,fit
HA-00235,test
HA-00236,test
HA-00237,fit
HA-00238,test
HA-00239,test
HA-00240,test
HA-00241,fit
HA-00242,test
HA-00243,test
HA-00244,fit
HA-00245,val
HA-00246,fit
HA-00247,test
HA-00248,test
HA-00249,fit
HA-00250,test
HA-00251,fit
HA-00252,test
HA-00253,test
HA-00254,fit
HA-00255,test
HA-00256,test
HA-00257,fit
HA-00258,test
HA-00259,test
HA-00260,fit
HA-00261,test
HA-00262,fit
HA-00263,test
HA-00264,fit
HA-00265,fit
HA-00266,fit
HA-00267,fit
HA-00268,val
HA-00269,fit
HA-00270,test
HA-00271,test
HA-00272,test
HA-00273,test
HA-00274,test
HA-00275,test
HA-00276,fit
HA-00277,test
HA-00278,test
HA-00279,test
HA-00280,fit
HA-00281,test
HA-00282,test
HA-00283,test
HA-00284,fit
HA-00285,fit
HA-00286,val
HA-00287,fit
HA-00288,fit
HA-00289,test
HA-00290,fit
HA-00291,val
HA-00292,fit
HA-00293,test
HA-00294,fit
HA-00295,test
HA-00296,test
HA-00297,test
HA-00298,fit
HA-00299,fit
HA-00300,test
HA-00301,val
HA-00302,test
HA-00303,test
HA-00304,test
HA-00305,test
HA-00306,fit
HA-00307,fit
HA-00308,fit
HA-00309,test
HA-00310,fit
HA-00311,val
HA-00312,test
HA-00313,test
HA-00314,test
HA-00315,test
HA-00316,test
HA-00317,test
HA-00318,test
HA-00319,fit
HA-00320,fit
HA-00321,test
HA-00322,test
HA-00323,test
HA-00324,test
HA-00325,test
HA-00326,test
HA-00327,fit
HA-00328,val
HA-00329,test
HA-00330,test
HA-00331,val
HA-00332,test
HA-00333,test
HA-00334,val
HA-00335,fit
HA-00336,fit
HA-00337,test
HA-00338,fit
HA-00339,fit
HA-00340,test
HA-00341,fit
HA-00342,fit
HA-00343,fit
HA-00344,test
HA-00345,fit
