record_id,target,lira_score
HA-00001,Non-private (overfit),0.38926256745690746
HA-00002,Non-private (overfit),0.15077657839621694
HA-00003,Non-private (overfit),-0.20064990845084862
HA-00004,Non-private (overfit),0.3587433235245492
HA-00006,Non-private (overfit),0.5736561662949473
HA-00008,Non-private (overfit),-0.1570418071429842
HA-00009,Non-private (overfit),0.5031168835591386
HA-00010,Non-private (overfit),-0.126947178449192
HA-00011,Non-private (overfit),-0.6067328742753342
HA-00012,Non-private (overfit),-0.034370910645203256
HA-00014,Non-private (overfit),0.3112249845185988
HA-00015,Non-private (overfit),0.41884860681479275
HA-00016,Non-private (overfit),0.1887649709134147
HA-00017,Non-private (overfit),-0.8796404383995529
HA-00018,Non-private (overfit),-1.4376110110859135
HA-00019,Non-private (overfit),0.04013195149077453
HA-00020,Non-private (overfit),-0.10839222550656213
HA-00021,Non-private (overfit),-0.5664648948000042
HA-00022,Non-private (overfit),-0.16391763038311047
HA-00023,Non-private (overfit),0.31470393302486865
HA-00024,Non-private (overfit),0.11408586872763471
HA-00025,Non-private (overfit),0.6767613921649067
HA-00026,Non-private (overfit),0.4283814748647501
HA-00027,Non-private (overfit),-0.5781720441933768
HA-00028,Non-private (overfit),0.09973413334710757
HA-00029,Non-private (overfit),-1.8472219902619453
HA-00030,Non-private (overfit),1.136666104327145
HA-00031,Non-private (overfit),0.1863186376228796
HA-00032,Non-private (overfit),0.07594320310476066
HA-00033,Non-private (overfit),0.3312545760797436
HA-00034,Non-private (overfit),0.20343891540656822
HA-00035,Non-private (overfit),-0.33551243163558
HA-00036,Non-private (overfit),0.011437367688854838
HA-00037,Non-private (overfit),0.13868358258046398
HA-00038,Non-private (overfit),0.08501851249223691
HA-00040,Non-private (overfit),0.4379599556830315
HA-00041,Non-private (overfit),0.46587013256765597
HA-00043,Non-private (overfit),0.034934172512213646
HA-00044,Non-private (overfit),0.37124916367604677
HA-00045,Non-private (overfit),-0.16535344160606247
HA-00046,Non-private (overfit),-0.4995642173053646
HA-00047,Non-private (overfit),0.7204662953946535
HA-00048,Non-private (overfit),0.09453182114831526
HA-00049,Non-private (overfit),7.56268169711865
HA-00050,Non-private (overfit),0.3695746154181401
HA-00051,Non-private (overfit),0.026743345255044626
HA-00052,Non-private (overfit),-0.12173995538598947
HA-00053,Non-private (overfit),-0.6863733972457708
HA-00055,Non-private (overfit),0.38635323174875313
HA-00056,Non-private (overfit),0.651702535045251
HA-00057,Non-private (overfit),0.25524611586401
HA-00059,Non-private (overfit),-0.03152140389897484
HA-00060,Non-private (overfit),-0.1698669031335618
HA-00061,Non-private (overfit),-0.5837620798590626
HA-00062,Non-private (overfit),0.3205470706563107
HA-00063,Non-private (overfit),0.7437351844887357
HA-00064,Non-private (overfit),-0.12919125858414415
HA-00065,Non-private (overfit),-0.27783725599679254
HA-00066,Non-private (overfit),-0.06003097292688819
HA-00067,Non-private (overfit),-0.4170578734828432
HA-00068,Non-private (overfit),-0.4428023018195687
HA-00070,Non-private (overfit),0.2542822829319249
HA-00071,Non-private (overfit),0.3872989934185116
HA-00072,Non-private (overfit),-0.13403226189088047
HA-00073,Non-private (overfit),-0.3521554456681777
HA-00074,Non-private (overfit),0.028288096779857996
HA-00075,Non-private (overfit),-0.1707840635804796
HA-00076,Non-private (overfit),0.45323537700725713
HA-00077,Non-private (overfit),-0.49112062311186055
HA-00078,Non-private (overfit),-0.155729622811702
HA-00079,Non-private (overfit),-0.029740812166276442
HA-00080,Non-private (overfit),0.9977350786423429
HA-00081,Non-private (overfit),1.1660839099490765
HA-00082,Non-private (overfit),0.08772980942021735
HA-00083,Non-private (overfit),0.13339141876603133
HA-00084,Non-private (overfit),-0.3685524168581311
HA-00085,Non-private (overfit),0.12202533465072007
HA-00086,Non-private (overfit),-0.612352926134153
HA-00087,Non-private (overfit),0.2763071815709601
HA-00088,Non-private (overfit),-0.20376661003451224
HA-00090,Non-private (overfit),-0.07884809580009278
HA-00091,Non-private (overfit),0.3579959375056323
HA-00092,Non-private (overfit),-1.7693071070877804
HA-00093,Non-private (overfit),0.4705936959778997
HA-00094,Non-private (overfit),0.4610989128502423
HA-00098,Non-private (overfit),0.30777321496541843
HA-00099,Non-private (overfit),0.5559481072704282
HA-00100,Non-private (overfit),0.34643794411821727
HA-00101,Non-private (overfit),-0.022408865316835946
HA-00102,Non-private (overfit),0.25947232502727235
HA-00103,Non-private (overfit),-0.09265009427953363
HA-00104,Non-private (overfit),0.976510840707477
HA-00105,Non-private (overfit),-0.5640199284462906
HA-00106,Non-private (overfit),-0.4682177447842226
HA-00107,Non-private (overfit),-0.659262528125065
HA-00108,Non-private (overfit),-0.02414833355995505
HA-00109,Non-private (overfit),0.1731715972822041
HA-00110,Non-private (overfit),-0.21891599338139622
HA-00111,Non-private (overfit),-0.5242575383771528
HA-00112,Non-private (overfit),-0.08897543927397611
HA-00113,Non-private (overfit),-0.33944111369410335
HA-00114,Non-private (overfit),-0.09690440491241015
HA-00115,Non-private (overfit),-0.07418562326350653
HA-00116,Non-private (overfit),0.018158964968442604
HA-00117,Non-private (overfit),-0.46711109737140855
HA-00118,Non-private (overfit),2.206787390116668
HA-00119,Non-private (overfit),0.3893985350988731
HA-00120,Non-private (overfit),1.9738225740655164
HA-00121,Non-private (overfit),-0.09355974504842068
HA-00122,Non-private (overfit),0.7515702210164517
HA-00123,Non-private (overfit),0.44181815795064305
HA-00124,Non-private (overfit),-0.22417549133755932
HA-00125,Non-private (overfit),-0.8345200294564544
HA-00126,Non-private (overfit),0.9663201494304945
HA-00127,Non-private (overfit),0.8550139435581733
