target,attack,threat_model,auc,auc_lo,auc_hi,balanced_accuracy_optimistic,empirical_epsilon,n_eval,fpr_resolution_floor,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.1,tpr_at_fpr_0.01_lo,tpr_at_fpr_0.01_hi,seed,target_test_auc,theoretical_epsilon,bayes_ceiling
Non-private (overfit),confidence,label_agnostic,0.49038041666666665,0.4761621302083333,0.507643984375,0.502,0.0,5400,0.0003333333333333333,0.00125,0.010416666666666666,0.09833333333333333,0.006239583333333334,0.015843749999999993,2,0.7014335999684139,inf,0.79021529498665
Non-private (overfit),neg_entropy,label_agnostic,0.49038041666666665,0.4743211875,0.5051660972222223,0.502,0.0,5400,0.0003333333333333333,0.00125,0.010416666666666666,0.09833333333333333,0.005833333333333334,0.015416666666666667,2,0.7014335999684139,inf,0.79021529498665
Non-private (overfit),yeom_neg_loss,label_aware,0.5714633333333333,0.555520920138889,0.5863621232638888,0.563875,2.8928243476344537,5400,0.0003333333333333333,0.0008333333333333334,0.010416666666666666,0.12208333333333334,0.006656250000000001,0.017083333333333332,2,0.7014335999684139,inf,0.79021529498665
Non-private (overfit),modified_entropy,label_aware,0.5714634722222223,0.5567978090277778,0.5849202100694444,0.563875,2.8928243476344537,5400,0.0003333333333333333,0.00125,0.010416666666666666,0.12208333333333334,0.006656250000000001,0.0175,2,0.7014335999684139,inf,0.79021529498665
Non-private (overfit),class_calibrated_loss,label_aware,0.5840710416666667,0.5686485885416667,0.6006468055555556,0.5670833333333334,2.927949321477816,5400,0.0003333333333333333,0.004166666666666667,0.01125,0.15583333333333332,0.006666666666666667,0.0175,2,0.7014335999684139,inf,0.79021529498665
Non-private (overfit),learned_ensemble,label_aware,0.5827647222222222,0.5677038541666667,0.5983767013888888,0.562,2.2523936542081673,5400,0.0003333333333333333,0.0008333333333333334,0.01125,0.1375,0.005833333333333334,0.0175,2,0.7014335999684139,inf,0.79021529498665
Non-private (overfit),lira,label_aware,0.5880736111111111,0.5711722048611111,0.6023377569444445,0.5659166666666666,0.9307330249197531,5400,0.0003333333333333333,0.0008333333333333334,0.020416666666666666,0.15666666666666668,0.01040625,0.034166666666666665,2,0.7014335999684139,inf,0.79021529498665
Non-private (tuned),confidence,label_agnostic,0.49877381944444443,0.4839859895833334,0.5139143611111111,0.505125,0.0,5400,0.0003333333333333333,0.0020833333333333333,0.01125,0.10416666666666667,0.005416666666666667,0.017083333333333332,2,0.7822856111924219,inf,0.79021529498665
Non-private (tuned),neg_entropy,label_agnostic,0.49877381944444443,0.48344872916666665,0.5123979791666666,0.505125,0.0,5400,0.0003333333333333333,0.0020833333333333333,0.01125,0.10416666666666667,0.0054062500000000005,0.01709374999999999,2,0.7822856111924219,inf,0.79021529498665
Non-private (tuned),yeom_neg_loss,label_aware,0.5005117361111111,0.4856395694444445,0.5159651093750001,0.506625,0.0,5400,0.0003333333333333333,0.0020833333333333333,0.010833333333333334,0.09833333333333333,0.005,0.01625,2,0.7822856111924219,inf,0.79021529498665
Non-private (tuned),modified_entropy,label_aware,0.5005117361111111,0.4863043958333333,0.5144519479166666,0.506625,0.0,5400,0.0003333333333333333,0.0020833333333333333,0.010833333333333334,0.09833333333333333,0.005833333333333334,0.015843749999999993,2,0.7822856111924219,inf,0.79021529498665
